t=2026-03-24T17:40:50-0300 lvl=info msg="no configuration paths supplied"
t=2026-03-24T17:40:50-0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Owner\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-03-24T17:40:50-0300 lvl=info msg="open config file" path=C:\\Users\\Owner\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-03-24T17:40:50-0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-24T17:40:50-0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-24T17:43:57-0300 lvl=info msg="join connections" obj=join id=279dc96717ef l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:57-0300 lvl=info msg="join connections" obj=join id=f823995dc933 l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:44:12-0300 lvl=info msg="join connections" obj=join id=141f0a9bf30e l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:44:14-0300 lvl=info msg="join connections" obj=join id=113d85b0ce9e l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:44:14-0300 lvl=info msg="join connections" obj=join id=bcdba32998f5 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:44:14-0300 lvl=info msg="join connections" obj=join id=655decd6939d l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:44:21-0300 lvl=info msg="join connections" obj=join id=d9db5c818785 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:44:29-0300 lvl=info msg="join connections" obj=join id=5afd17f012b8 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:44:32-0300 lvl=info msg="join connections" obj=join id=b2a98dc78f54 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:44:34-0300 lvl=info msg="join connections" obj=join id=7e8d4330f2a2 l=127.0.0.1:3000 r=181.46.138.67:2838
